route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
3,73054,7227837,Presidio + California,1,302,141033,
3,73054,7227838,Presidio + California,1,303,141033,
3,73052,7227624,Presidio + California,1,353,141033,
3,73053,7227734,Presidio + California,1,303,141033,
3,73053,7227735,Presidio + California,1,304,141033,
3,73052,7227625,Presidio + California,1,355,141033,
3,73054,7227839,Presidio + California,1,304,141033,
3,73054,7227840,Presidio + California,1,301,141033,
3,73053,7227736,Presidio + California,1,301,141033,
3,73052,7227626,Presidio + California,1,358,141033,
3,73052,7227627,Presidio + California,1,351,141033,
3,73053,7227737,Presidio + California,1,302,141033,
3,73054,7227841,Presidio + California,1,302,141033,
3,73053,7227738,Presidio + California,1,303,141033,
3,73052,7227628,Presidio + California,1,353,141033,
3,73054,7227842,Presidio + California,1,303,141033,
3,73052,7227629,Presidio + California,1,355,141033,
3,73054,7227843,Presidio + California,1,304,141033,
3,73053,7227739,Presidio + California,1,304,141033,
3,73054,7227844,Presidio + California,1,301,141033,
3,73052,7227630,Presidio + California,1,358,141033,
3,73053,7227740,Presidio + California,1,301,141033,
3,73053,7227741,Presidio + California,1,302,141033,
3,73052,7227631,Presidio + California,1,351,141033,
3,73054,7227845,Presidio + California,1,302,141033,
3,73054,7227846,Presidio + California,1,304,141033,
3,73053,7227742,Presidio + California,1,304,141033,
3,73052,7227632,Presidio + California,1,355,141033,
3,73054,7227847,Presidio + California,1,301,141033,
3,73053,7227743,Presidio + California,1,301,141033,
3,73052,7227633,Presidio + California,1,358,141033,
31BX,73052,7226803,Park Presidio Boulevard,0,5156,141018,
31BX,73052,7226810,Park Presidio Boulevard,0,5184,141018,
31BX,73052,7226814,Park Presidio Boulevard,0,5162,141018,
31BX,73052,7226820,Park Presidio Boulevard,0,5167,141018,
31BX,73052,7226798,Park Presidio Boulevard,0,5151,141018,
31BX,73052,7226828,Park Presidio Boulevard,0,5158,141018,
31BX,73052,7226834,Park Presidio Boulevard,0,5175,141018,
31BX,73052,7226840,Park Presidio Boulevard,0,5162,141018,
31BX,73052,7226847,Park Presidio Boulevard,0,5163,141018,
31BX,73052,7226791,Park Presidio Boulevard,0,5151,141018,
31BX,73052,7226863,Park Presidio Boulevard,0,5171,141018,
31BX,73052,7226854,Park Presidio Boulevard,0,5160,141018,
31BX,73052,7226855,Park Presidio Boulevard,0,5186,141018,
31BX,73052,7226876,Financial District,1,5102,141024,
31BX,73052,7226880,Financial District,1,5106,141024,
31BX,73052,7226886,Financial District,1,5111,141024,
31BX,73052,7226892,Financial District,1,5116,141024,
31BX,73052,7226898,Financial District,1,5120,141024,
31BX,73052,7226905,Financial District,1,5124,141024,
31BX,73052,7226911,Financial District,1,5105,141024,
31BX,73052,7226916,Financial District,1,5109,141024,
31BX,73052,7226923,Financial District,1,5114,141024,
31BX,73052,7226931,Financial District,1,5118,141024,
31BX,73052,7226937,Financial District,1,5119,141024,
31BX,73052,7226944,Financial District,1,5123,141024,
31BX,73052,7226963,Financial District,1,5102,141024,
31BX,73052,7226964,Financial District,1,5109,141024,
38AX,73052,7226882,Financial District,0,5103,141025,
